Vitamin,Protein,Fat,Callorie,Carbohydrate,Stength
0.05556192249,0.1149282215,0.1451568455,1463.040193,4.540862083,2
0.3846921325,0.1192501251,0.147916019,1484.006563,4.452103138,2
0.4646698833,0.109778168,0.134147346,1413.981019,3.892156363,2
0.2788491845,0.119022764,0.1475176513,1495.144218,4.409815788,2
0.233440876,0.1258838226,0.1541443169,1538.705541,4.562316418,2
0.3326601088,0.1279609733,0.1856326908,1637.023996,6.714188576,3
-4.738455296,0.1613175978,0.01550683007,1982.766952,0.03756216541,1
0.5571998358,0.1337384343,0.1779163182,1650.226085,5.964167595,3
-4.317978859,0.1543013649,0.01656024903,1960.689902,0.04043218493,1
0.6719110012,0.1292246943,0.1840575337,1596.488236,6.515393734,3
-4.389082909,0.1554833423,0.01636585779,1962.238256,0.04017382115,1
0.5187616348,0.1413529422,0.1690933853,1672.706332,5.112711906,3
-4.913858891,0.1630556999,0.01529008336,1998.131892,0.03613161296,1
0.6344991326,0.1458284915,0.1683368534,1652.666635,5.085682392,3
-4.706630707,0.162067843,0.01548624877,1991.007457,0.03709942102,1
-0.07528333366,0.1263058164,0.1565719396,1548.695245,4.675031185,3
0.198039338,0.1144470775,0.1454977542,1547.313776,4.126606464,3
0.5289931893,0.1192742008,0.15138717,1533.079638,4.453528881,3
0.7572563887,0.1211027093,0.1562945545,1525.520762,4.697177887,3
-1.098662734,0.09651730039,0.1182617545,1328.990928,3.549111843,3
-0.1870643198,0.09823860378,0.136603266,1326.573176,4.232926846,3
-0.417209059,0.1051028197,0.1323114187,1412.472668,3.657102346,3
0.1492183656,0.1066692947,0.1365359277,1438.066548,3.877494574,2
-0.5367823839,0.110308908,0.1192972437,1429.947131,3.187119961,3
0.09889302403,0.1105154454,0.1272179782,1441.933819,3.449878454,2
0.0257935524,0.1237068966,0.136627093,1510.289016,3.713263512,3
0.2418841422,0.1218658377,0.1368996352,1484.591137,3.69916153,2
-0.5490896702,0.1182527389,0.1038625166,1454.946564,2.369200706,3
0.2210040092,0.1146170079,0.1353393346,1471.394812,3.743160963,2
-0.9673116803,0.09494942481,0.1043806374,1324.080994,2.606602907,3
0.2089883387,0.1164299378,0.1220848113,1469.610165,3.067580223,2
-0.459942162,0.09673917924,0.1500137448,1355.73476,4.760002613,3
0.4612960219,0.118317843,0.1571685076,1516.176645,4.832697392,2
-0.9094022512,0.08480042205,0.1411811858,1326.433976,4.389719486,3
0.5002934933,0.1216457201,0.1565375179,1516.556413,4.711400032,2
-4.997240067,0.1642252604,0.01513025817,1999.515814,0.03547661006,1
-4.77481699,0.160079921,0.01591568813,1968.511277,0.04010596871,1
-4.952908516,0.1630555606,0.01505587902,2004.40699,0.03511619195,1
-0.5802201629,0.07362990739,0.1383115798,1210.932673,4.8712883,3
-4.828764915,0.1628872575,0.01582350023,1983.733751,0.0393229425,1
-4.890846252,0.1609149296,0.01527057495,1987.816614,0.03602372855,1
-5.017878532,0.1632747694,0.01490143593,1996.621562,0.03442804888,1
-1.212618589,0.09405826973,0.1151502505,1341.957326,3.527675629,3
-5.02838707,0.1609830878,0.01562354621,1973.870789,0.03867160529,1
-4.73210001,0.1604266483,0.01566716097,1977.290059,0.03788974136,1
-5.02005291,0.1660380232,0.0148583902,2009.977158,0.03389550373,1
-0.09415920824,0.1246643768,0.1409167647,1477.30539,3.752637386,3
-4.917191982,0.1607612698,0.01533959992,1985.36415,0.03659892827,1
-4.966844082,0.1624032376,0.01556954067,1984.989231,0.03793748841,1
-4.767931461,0.1618449831,0.01500221435,1997.325688,0.03450001776,1
-0.7948454022,0.09642825072,0.1492678374,1303.37022,4.757039547,3
-4.886458397,0.1614129554,0.01519182511,1986.360839,0.035957627,1
-4.885844231,0.1600246166,0.01510959771,1985.509902,0.03572716564,1
-1.231478333,0.08190834168,0.1346876323,1316.263494,4.613535404,3
-3.124970913,0.1218055009,0.02267258801,1852.249752,0.06128700823,1
0.7792237997,0.1306403747,0.1459013373,1567.578253,3.954922915,2
-0.1554307193,0.1010261728,0.1123840809,1373.603513,2.795791388,3
-4.793580532,0.1598572337,0.0158750657,1972.955008,0.0394676365,1
-4.917069435,0.1637294787,0.01504839491,1997.381002,0.03502636403,1
0.9121987224,0.1378886138,0.1646929681,1686.821903,4.889342785,1
0.6617215872,0.1334127724,0.1507691592,1605.792667,4.247906685,2
-0.4616832733,0.110315643,0.101517655,1433.355695,2.339641571,3
-4.974895,0.1609082255,0.01534084883,1982.454807,0.03678083047,1
-4.435649872,0.1594704113,0.01692147553,1965.215105,0.04601090029,1
0.8384832144,0.1332058066,0.163550958,1606.000101,4.858840466,1
0.7548778057,0.1383373743,0.1494533867,1618.217242,4.017351151,2
-0.8584028482,0.1042755478,0.09073298424,1379.884384,2.019085646,3
-4.858668327,0.1614844646,0.01524578501,1989.934408,0.03606120497,1
-4.927423,0.1621926303,0.01543567982,1984.336377,0.03718949854,1
0.9889085889,0.1386168732,0.1652240902,1695.772444,4.915593624,1
0.6240302324,0.1383340068,0.1242315918,1559.795497,2.84636116,2
0.01972660981,0.1201374388,0.1152331606,1449.687434,2.757961273,3
-4.865118027,0.1607318843,0.0156331826,1976.292615,0.03798214719,1
-5.030999184,0.1618669104,0.01531108189,1986.024603,0.03657357395,1
1.01356864,0.1373779856,0.164171204,1687.03873,4.850725651,1
0.9604138136,0.134062949,0.150228709,1574.476316,4.137374401,2
-0.2462017536,0.1035994261,0.1058007479,1367.985873,2.610518694,3
-5.013349533,0.1611573942,0.01566244848,1979.13775,0.03857098147,1
-4.980870247,0.1619887014,0.01505022496,1998.120809,0.03510721028,1
0.9676483274,0.133417252,0.1657180041,1702.24136,5.050353527,1
-4.858570099,0.1616964736,0.01542166807,1987.277832,0.03679729998,1
-4.814704895,0.1606881078,0.01524910796,1979.591447,0.03608059883,1
0.5998713374,0.1185896287,0.1580860466,1499.173035,5.014833927,3
-4.905724525,0.1625325521,0.0157333333,1987.987994,0.03887870163,1
-4.921919823,0.1623053594,0.01523767412,1988.852162,0.03580088168,1
0.2764449716,0.1111091247,0.1355339438,1443.147505,3.965013504,3
-4.964488983,0.162268768,0.01532975584,1991.022667,0.03650204837,1
-4.994217396,0.1615460597,0.01502113603,1992.529166,0.03501679748,1
-0.3018272519,0.1048695975,0.1639396548,1386.146476,5.622580528,3
-4.946226597,0.1618674742,0.01530937944,1990.57067,0.03646225482,1
-4.600306988,0.1605805496,0.01547240838,1989.519983,0.03639894351,1
0.1805999726,0.1048796767,0.1599407196,1411.475263,5.287584305,3
-5.011842251,0.1609596235,0.01516614389,1987.456231,0.03589975089,1
-4.845354557,0.1626863326,0.0149386432,2012.959727,0.03433115408,1
-0.03313827515,0.1111914958,0.132346198,1408.57547,3.97628808,3
-0.6392323375,0.1166399993,0.1129034832,1459.861743,2.565487623,2
-0.3383854032,0.117981517,0.1290719658,1508.686336,3.372612953,2
-0.5637961626,0.1279621649,0.1164405048,1532.441257,2.674194098,2
-0.6952023506,0.124546436,0.1102607697,1510.136906,2.427459955,2
-0.5604449511,0.1319711367,0.1244245246,1546.931014,2.890713215,2
-0.6544551849,0.1159130411,0.1258635372,1495.600878,3.135841131,2
0.1492945701,0.1534571202,0.1826420724,1762.664988,5.769831657,2
0.1827158034,0.1478002706,0.1855859607,1714.782615,6.067701817,2
0.3241260648,0.1495058952,0.1834018975,1724.730208,5.888174534,2
-0.1718221605,0.1087097728,0.1950663924,1688.441465,7.741895199,2
0.2512340546,0.1492505555,0.183467865,1715.222627,5.833397388,2
-0.6630768776,0.1080031089,0.1324747652,1418.155759,3.745210648,3
-0.9932311773,0.1031759511,0.1232152879,1395.577881,3.575199604,3
-1.103826761,0.08391046087,0.1306260526,1291.458615,4.127511024,3
-0.9318600893,0.1241903043,0.1630785763,1472.075704,5.155420303,3
-1.014186382,0.09809760262,0.124431476,1381.482005,3.79766798,3
-0.8555423021,0.09589282507,0.1274522841,1380.654598,3.691951752,3
-1.965184212,0.1161297427,0.08149333298,1481.578146,1.871113181,3
-1.784389257,0.1108141447,0.08637544513,1443.281191,2.023643255,3
-1.897166967,0.1071855738,0.08074329048,1407.601803,1.548480988,3
-1.737208128,0.0986832085,0.09023281932,1342.90303,2.063282728,3
-0.5117565393,0.07761884118,0.09668716043,1527.708671,1.973171711,2
-1.229007483,0.1172793327,0.08269447088,1605.708777,1.361290097,1
0.1719408035,0.07431931136,0.1098272875,1470.481753,2.595381021,2
-1.375644088,0.09773016413,0.07804889977,1462.242765,1.307902455,1
-0.9270316958,0.09366172948,0.08817785233,1512.285041,1.704889417,2
-0.1401326358,0.1420024907,0.07376530766,1615.231737,0.9888163805,1
-1.000177145,0.124067114,0.09906315058,1497.302101,1.860593438,2
-0.24967134,0.1242770756,0.08932778239,1548.967499,1.561607361,1
-0.4076185822,0.1153900426,0.08457888663,1525.335608,1.445631027,2
-0.4664550722,0.1294649242,0.08602430671,1571.44323,1.43494153,1
-0.4272863865,0.1043111771,0.08179292828,1469.788518,1.448440552,2
-0.276252985,0.128486127,0.09020280093,1598.79707,1.551901221,1
-0.6121556163,0.1229998387,0.08460531384,1594.463102,1.385040879,1
-0.8444822431,0.08156200724,0.08685911447,1454.400869,1.628790736,1
-0.2925224304,0.1211138623,0.09808342904,1561.106307,1.876104593,1
-1.17007339,0.1038415191,0.09312440455,1558.5653,1.786748648,3
-0.6080594063,0.1197227635,0.08416065574,1571.552481,1.399154425,1
-0.07254461944,0.07505980325,0.09431732446,1436.10713,1.94156146,1
-2.59752655,0.1169758368,0.05411769822,1573.73021,0.691595614,1
-1.017653465,0.09500542037,0.09926559776,1533.312267,2.048928976,3
-0.3741224706,0.1220445545,0.0847203061,1569.26277,1.387247086,1
-0.31053105,0.07436512264,0.09061405808,1423.573341,1.808787107,1
-1.602967024,0.1245677143,0.07389518619,1610.789284,1.041190624,1
-0.5978121161,0.1224368028,0.08403418213,1555.795679,1.388984323,3
-0.456662178,0.1255994073,0.09324198961,1608.226475,1.654738426,1
-0.4845134318,0.09012036805,0.0747178942,1539.577596,1.163066149,1
-0.5814048648,0.1246416284,0.08566382527,1588.903418,1.402622342,3
-0.3825949132,0.1202974932,0.08704849333,1579.161972,1.468793154,1
-0.5176270604,0.07496573072,0.0879720971,1406.57946,1.717282891,1
-0.5960725546,0.1253396739,0.08022503555,1569.500985,1.250552535,3
-6.790065765,0.1075909816,0.005210442469,2536.058432,0.001999370055,1
-6.80877018,0.1084710651,0.005195685197,2541.23978,0.001989756012,1
-0.4250327051,0.1182020523,0.08692774922,1524.59605,1.473039269,3
-0.7862839699,0.1245173055,0.093444556,1610.593149,1.701236486,1
-0.5489271283,0.141658678,0.0895704329,1636.03932,1.42403698,2
-0.6995289922,0.1105733049,0.07933761925,1519.195512,1.350966454,3
-1.004042268,0.1165601865,0.09153345972,1583.357366,1.681578159,1
-0.4156023562,0.1244701868,0.0895441547,1569.069737,1.538158894,2
-0.1589895934,0.1373444651,0.08365835249,1622.479438,1.280930996,3
-0.6630336642,0.1296626949,0.09495324641,1634.14582,1.713251233,1
-0.5710327029,0.1248726223,0.07791540772,1556.540965,1.19015193,2
-1.140190363,0.09794787793,0.07512116432,1429.673498,1.203440666,3
-0.7709450722,0.1283216564,0.09500150383,1624.585986,1.723726869,1
-0.6613493562,0.1313096664,0.08424036205,1586.787134,1.332585931,2
-0.8776400685,0.1254210866,0.09164246172,1604.595862,1.638001323,1
-0.1812331378,0.1291739088,0.08081229031,1601.563792,1.229776263,3
-0.3906924725,0.1312927806,0.09279172122,1606.58159,1.608731627,2
-0.4107921124,0.1273129112,0.08053292334,1570.206469,1.250823021,2
0.5555120707,0.1211954287,0.154207319,1519.671894,4.716165543,3
0.5467306376,0.1527749158,0.1444164962,1788.246613,3.62264204,2
0.3757986426,0.1192735895,0.1474522054,1490.002031,4.394917488,3
0.5957516432,0.1525973881,0.1458724141,1773.49678,3.711089373,2
0.5183088183,0.1453759654,0.1525626481,1676.220168,4.104011059,3
0.5289638638,0.1541815242,0.145267725,1788.131871,3.642751217,2
0.541703701,0.1448698066,0.1526856571,1693.159165,4.148823738,3
0.4864875674,0.1535482516,0.1437641829,1797.681399,3.593039036,2
0.5911210775,0.146141349,0.14996171,1720.102971,3.958863258,3
0.6031301618,0.1476860396,0.151581794,1713.691891,3.995055676,2
-0.966109395,0.0720338034,0.1271463484,1260.817032,3.655549288,3
-0.9053613544,0.1044262639,0.09507695585,1413.889177,2.050982952,3
-0.2740638852,0.1106393797,0.1010387838,1443.167286,2.193758011,3
-1.174849749,0.1117996076,0.07540195435,1446.01018,1.466778278,3
-0.7339345217,0.1061324549,0.1005757079,1425.773065,2.284651995,3
0.6388729811,0.1290630376,0.1619481444,1539.71029,5.151524067,2
0.1529415101,0.1151293443,0.1619646847,1604.918716,5.178186893,2
0.8874363899,0.1306783646,0.1574420035,1559.771006,4.782121658,2
0.5173193216,0.1214423627,0.1512713432,1587.019756,4.399454117,2
0.4182150364,0.114047751,0.1417035758,1451.562418,4.107308388,2
0.3627425134,0.1292914994,0.1470919251,1591.730054,4.105681896,2
0.7635895014,0.1288213315,0.1299442202,1517.155625,3.372645378,2
0.4670109749,0.1236034708,0.1453206241,1558.378094,4.074347973,2
0.6789864898,0.1312705592,0.1441607773,1539.668261,3.96449852,2
0.2881132066,0.1160989464,0.1576032937,1603.165133,4.886875153,2
0.1473784447,0.1042128504,0.1728628725,1558.810402,6.171947479,2
0.53291291,0.1364242134,0.1691132188,1600.555863,5.217193127,3
0.5214757919,0.1388808192,0.1650307328,1662.613548,4.975905895,3
0.4947170317,0.136770148,0.163567692,1612.944537,4.887087345,3
0.01116008777,0.1460845667,0.1496795267,1676.873999,3.889010191,2
0.02317237854,0.1414246165,0.1450518668,1626.677867,3.747339964,2
0.1170254722,0.1383538202,0.1527587473,1606.978715,4.214594364,2
-0.08320579678,0.1433687823,0.1471764445,1635.431991,3.836524248,2
-0.1278641671,0.1427468446,0.1404493898,1596.619415,3.53299427,2
0.1566973478,0.1414421695,0.1253838837,1610.719012,2.776775599,3
-1.252223969,0.08226365847,0.1299358904,1346.908219,3.765778065,4
-0.01884760894,0.1353143815,0.124891825,1561.723799,2.908880711,3
-1.436500311,0.1057252096,0.09042711556,1404.958619,2.235485554,4
